Day,Week,Weekday,Date,Session,Period,Block,Order,Element,Lite,ATHX,Pro,Effort,Note
9,2,TUESDAY,2026-11-10,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,,Note,,,,,Damper between 5 and 8. Stroke rate 34-42. Drive from the hip hinge and let the arms follow. Film yourself once this phase.
9,2,TUESDAY,2026-11-10,SKI TECHNIQUE + GRIP,Main,GRIP BLOCK  |  12 MIN,1,Farmer Carry (heavy),4 x 40 m,4 x 40 m,4 x 40 m,-,
9,2,TUESDAY,2026-11-10,SKI TECHNIQUE + GRIP,Main,GRIP BLOCK  |  12 MIN,2,Dead Hang,3 x max hold,3 x max hold,3 x max hold,-,
9,2,TUESDAY,2026-11-10,SKI TECHNIQUE + GRIP,Main,GRIP BLOCK  |  12 MIN,3,Sandbag Bear-Hug Hold  (30 kg),3 x 40 s,3 x 40 s,3 x 40 s,-,
10,2,WEDNESDAY,2026-11-11,EASY AEROBIC + LOWER ACCUMULATION,AM,AM - EASY AEROBIC  |  40 MIN,,Note,,,,,"Zone 2 run or bike. Conversational throughout. If in doubt, go slower."
10,2,WEDNESDAY,2026-11-11,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,1,A Back Squat,4 x 6,4 x 6,4 x 6,2 RIR,
10,2,WEDNESDAY,2026-11-11,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,2,B Deadlift,4 x 5,4 x 5,4 x 5,3 RIR,
10,2,WEDNESDAY,2026-11-11,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,3,C Bulgarian Split Squat,3 x 10 each leg,3 x 10 each leg,3 x 10 each leg,3 RIR,
10,2,WEDNESDAY,2026-11-11,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,4,D Copenhagen Plank,3 x 25 s each side,3 x 25 s each side,3 x 25 s each side,-,
10,2,WEDNESDAY,2026-11-11,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,,Note,,,,,"No sumo. Hands outside the knees, as competition requires. Build the habit now."
11,2,THURSDAY,2026-11-12,COMPLETE REST,Main,NO SESSION,,Note,,,,,"Optional, ten to fifteen minutes: thoracic rotation, hip flexor lengthening, ankle dorsiflexion. Nothing that raises the heart rate. If it starts to feel like a session, stop."
11,2,THURSDAY,2026-11-12,COMPLETE REST,Main,NO SESSION,,Note,,,,,Feeling good on a rest day is a sign the rest day is doing its job rather than a reason to add a session.
11,2,THURSDAY,2026-11-12,COMPLETE REST,Main,NO SESSION,,Note,,,,,More progress tends to be lost to training through fatigue than to taking a day off.
12,2,FRIDAY,2026-11-13,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,1,DB Bench Press,10 @ 7.5 kg,12 @ 12.5 kg,12 @ 15 kg,,
12,2,FRIDAY,2026-11-13,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,2,DB Ground to Overhead,10 @ 7.5 kg,12 @ 12.5 kg,12 dual @ 15 kg,,
12,2,FRIDAY,2026-11-13,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,3,Sandbag Squats,10 @ 20 kg,12 @ 30 kg,12 @ 50 kg,,
12,2,FRIDAY,2026-11-13,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,4,Sandbag Carry (no rest),30 m @ 20 kg,30 m @ 30 kg,30 m @ 50 kg,,
12,2,FRIDAY,2026-11-13,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,5,Rounds,3,3,4,,
12,2,FRIDAY,2026-11-13,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,,Note,,,,,The carry follows the squats with no break. Do not set the bag down between them. That is the sequence you will meet in competition.
12,2,FRIDAY,2026-11-13,METCON MOVEMENT WORK,Main,FINISHER,,Note,,,,,"300 m row, controlled. Not a time trial this phase."
13,2,SATURDAY,2026-11-14,LONG AEROBIC + SKI INTRODUCTION,Main,RUN,1,Duration,50 min,60 min,70 min,,
13,2,SATURDAY,2026-11-14,LONG AEROBIC + SKI INTRODUCTION,Main,RUN,2,at,easy aerobic,easy aerobic,easy aerobic,,
13,2,SATURDAY,2026-11-14,LONG AEROBIC + SKI INTRODUCTION,Main,SKI - IMMEDIATELY AFTER,1,Duration,6 min,8 min,10 min,,
13,2,SATURDAY,2026-11-14,LONG AEROBIC + SKI INTRODUCTION,Main,SKI - IMMEDIATELY AFTER,2,at,steady,steady,steady,,
13,2,SATURDAY,2026-11-14,LONG AEROBIC + SKI INTRODUCTION,Main,SKI - IMMEDIATELY AFTER,,Note,,,,,Transition without pausing. Note how the first ninety seconds feel. That sensation is what the Development phase trains away.
14,2,SUNDAY,2026-11-15,EASY AEROBIC,Main,,1,Duration,30 min,45 min,55 min,,
14,2,SUNDAY,2026-11-15,EASY AEROBIC,Main,,2,Mode,walk / hike / bike,run / bike / hike,run / bike / hike,,
14,2,SUNDAY,2026-11-15,EASY AEROBIC,Main,,,Note,,,,,"Conversational the entire time. If your legs are sore from yesterday, walking or riding instead of running is the better choice."
15,3,MONDAY,2026-11-16,AEROBIC RUN + UPPER ACCUMULATION,AM,AM - AEROBIC RUN,1,Main,35 min easy,40 min easy,45 min easy,,
15,3,MONDAY,2026-11-16,AEROBIC RUN + UPPER ACCUMULATION,AM,AM - AEROBIC RUN,,Note,,,,,Warm-up 8 min easy. Main set at conversational. Cool-down 5 min easy. Full sentences throughout.
15,3,MONDAY,2026-11-16,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,1,A1 Push Press,5 x 5,5 x 5,5 x 5,2 RIR,
15,3,MONDAY,2026-11-16,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,2,A2 Weighted Pull-Up or Heavy Row,4 x 6,4 x 6,4 x 6,3 RIR,
15,3,MONDAY,2026-11-16,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,3,B1 DB Bench Press  (12.5 kg),4 x 15,4 x 15,4 x 15,-,
15,3,MONDAY,2026-11-16,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,4,B2 Barbell Bent-Over Row,3 x 12,3 x 12,3 x 12,3 RIR,
15,3,MONDAY,2026-11-16,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,5,C Half-Kneeling Z Press,3 x 10,3 x 10,3 x 10,3 RIR,
15,3,MONDAY,2026-11-16,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,,Note,,,,,"Push press, not strict press."
16,3,TUESDAY,2026-11-17,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,1,Warm-up,4 min easy,4 min easy,4 min easy,,
16,3,TUESDAY,2026-11-17,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,2,Main,18 min,25 min,28 min,,
16,3,TUESDAY,2026-11-17,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,3,at,"steady, nasal-capable","steady, nasal-capable","steady, nasal-capable",,
16,3,TUESDAY,2026-11-17,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,4,Cool-down,4 min easy,4 min easy,4 min easy,,
16,3,TUESDAY,2026-11-17,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,,Note,,,,,Damper between 5 and 8. Stroke rate 34-42. Drive from the hip hinge and let the arms follow. Film yourself once this phase.
16,3,TUESDAY,2026-11-17,SKI TECHNIQUE + GRIP,Main,GRIP BLOCK  |  12 MIN,1,Farmer Carry (heavy),4 x 40 m,4 x 40 m,4 x 40 m,-,
16,3,TUESDAY,2026-11-17,SKI TECHNIQUE + GRIP,Main,GRIP BLOCK  |  12 MIN,2,Dead Hang,3 x max hold,3 x max hold,3 x max hold,-,
16,3,TUESDAY,2026-11-17,SKI TECHNIQUE + GRIP,Main,GRIP BLOCK  |  12 MIN,3,Sandbag Bear-Hug Hold  (30 kg),3 x 40 s,3 x 40 s,3 x 40 s,-,
17,3,WEDNESDAY,2026-11-18,EASY AEROBIC + LOWER ACCUMULATION,AM,AM - EASY AEROBIC  |  45 MIN,,Note,,,,,"Zone 2 run or bike. Conversational throughout. If in doubt, go slower."
17,3,WEDNESDAY,2026-11-18,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,1,A Back Squat,5 x 5,5 x 5,5 x 5,2 RIR,
17,3,WEDNESDAY,2026-11-18,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,2,B Deadlift,4 x 4,4 x 4,4 x 4,2 RIR,
17,3,WEDNESDAY,2026-11-18,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,3,C Bulgarian Split Squat,3 x 10 each leg,3 x 10 each leg,3 x 10 each leg,3 RIR,
17,3,WEDNESDAY,2026-11-18,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,4,D Copenhagen Plank,3 x 25 s each side,3 x 25 s each side,3 x 25 s each side,-,
17,3,WEDNESDAY,2026-11-18,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,,Note,,,,,"No sumo. Hands outside the knees, as competition requires. Build the habit now."
18,3,THURSDAY,2026-11-19,COMPLETE REST,Main,NO SESSION,,Note,,,,,"Optional, ten to fifteen minutes: thoracic rotation, hip flexor lengthening, ankle dorsiflexion. Nothing that raises the heart rate. If it starts to feel like a session, stop."
18,3,THURSDAY,2026-11-19,COMPLETE REST,Main,NO SESSION,,Note,,,,,Feeling good on a rest day is a sign the rest day is doing its job rather than a reason to add a session.
18,3,THURSDAY,2026-11-19,COMPLETE REST,Main,NO SESSION,,Note,,,,,More progress tends to be lost to training through fatigue than to taking a day off.
19,3,FRIDAY,2026-11-20,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,1,DB Bench Press,10 @ 7.5 kg,12 @ 12.5 kg,12 @ 15 kg,,
19,3,FRIDAY,2026-11-20,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,2,DB Ground to Overhead,10 @ 7.5 kg,12 @ 12.5 kg,12 dual @ 15 kg,,
19,3,FRIDAY,2026-11-20,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,3,Sandbag Squats,10 @ 20 kg,12 @ 30 kg,12 @ 50 kg,,
19,3,FRIDAY,2026-11-20,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,4,Sandbag Carry (no rest),30 m @ 20 kg,30 m @ 30 kg,30 m @ 50 kg,,
19,3,FRIDAY,2026-11-20,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,5,Rounds,3,4,4,,
19,3,FRIDAY,2026-11-20,METCON MOVEMENT WORK,Main,CIRCUIT  |  REST 3 MIN BETWEEN ROUNDS,,Note,,,,,The carry follows the squats with no break. Do not set the bag down between them. That is the sequence you will meet in competition.
19,3,FRIDAY,2026-11-20,METCON MOVEMENT WORK,Main,FINISHER,,Note,,,,,"300 m row, controlled. Not a time trial this phase."
20,3,SATURDAY,2026-11-21,LONG AEROBIC + SKI INTRODUCTION,Main,RUN,1,Duration,60 min,70 min,80 min,,
20,3,SATURDAY,2026-11-21,LONG AEROBIC + SKI INTRODUCTION,Main,RUN,2,at,easy aerobic,easy aerobic,easy aerobic,,
20,3,SATURDAY,2026-11-21,LONG AEROBIC + SKI INTRODUCTION,Main,SKI - IMMEDIATELY AFTER,1,Duration,8 min,10 min,12 min,,
20,3,SATURDAY,2026-11-21,LONG AEROBIC + SKI INTRODUCTION,Main,SKI - IMMEDIATELY AFTER,2,at,steady,steady,steady,,
20,3,SATURDAY,2026-11-21,LONG AEROBIC + SKI INTRODUCTION,Main,SKI - IMMEDIATELY AFTER,,Note,,,,,Transition without pausing. Note how the first ninety seconds feel. That sensation is what the Development phase trains away.
21,3,SUNDAY,2026-11-22,EASY AEROBIC,Main,,1,Duration,35 min,50 min,60 min,,
21,3,SUNDAY,2026-11-22,EASY AEROBIC,Main,,2,Mode,walk / hike / bike,run / bike / hike,run / bike / hike,,
21,3,SUNDAY,2026-11-22,EASY AEROBIC,Main,,,Note,,,,,"Conversational the entire time. If your legs are sore from yesterday, walking or riding instead of running is the better choice."
22,4,MONDAY,2026-11-23,AEROBIC RUN + UPPER ACCUMULATION,AM,AM - AEROBIC RUN,1,Main,20 min easy,25 min easy,25 min easy,,
22,4,MONDAY,2026-11-23,AEROBIC RUN + UPPER ACCUMULATION,AM,AM - AEROBIC RUN,,Note,,,,,Warm-up 8 min easy. Main set at conversational. Cool-down 5 min easy. Full sentences throughout.
22,4,MONDAY,2026-11-23,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,1,A1 Push Press,3 x 6,3 x 6,3 x 6,4 RIR,
22,4,MONDAY,2026-11-23,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,2,A2 Weighted Pull-Up or Heavy Row,3 x 8,3 x 8,3 x 8,3 RIR,
22,4,MONDAY,2026-11-23,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,3,B1 DB Bench Press  (12.5 kg),2 x 12,2 x 12,2 x 12,-,
22,4,MONDAY,2026-11-23,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,4,B2 Barbell Bent-Over Row,3 x 12,3 x 12,3 x 12,3 RIR,
22,4,MONDAY,2026-11-23,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,5,C Half-Kneeling Z Press,3 x 10,3 x 10,3 x 10,3 RIR,
22,4,MONDAY,2026-11-23,AEROBIC RUN + UPPER ACCUMULATION,PM,PM - UPPER ACCUMULATION  |  MIN 6 H AFTER AM,,Note,,,,,"Push press, not strict press."
23,4,TUESDAY,2026-11-24,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,1,Warm-up,4 min easy,4 min easy,4 min easy,,
23,4,TUESDAY,2026-11-24,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,2,Main,10 min,12 min,14 min,,
23,4,TUESDAY,2026-11-24,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,3,at,"steady, nasal-capable","steady, nasal-capable","steady, nasal-capable",,
23,4,TUESDAY,2026-11-24,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,4,Cool-down,4 min easy,4 min easy,4 min easy,,
23,4,TUESDAY,2026-11-24,SKI TECHNIQUE + GRIP,Main,SKI - CONTINUOUS,,Note,,,,,Damper between 5 and 8. Stroke rate 34-42. Drive from the hip hinge and let the arms follow. Film yourself once this phase.
23,4,TUESDAY,2026-11-24,SKI TECHNIQUE + GRIP,Main,GRIP BLOCK  |  12 MIN,1,Farmer Carry (heavy),4 x 40 m,4 x 40 m,4 x 40 m,-,
23,4,TUESDAY,2026-11-24,SKI TECHNIQUE + GRIP,Main,GRIP BLOCK  |  12 MIN,2,Dead Hang,3 x max hold,3 x max hold,3 x max hold,-,
23,4,TUESDAY,2026-11-24,SKI TECHNIQUE + GRIP,Main,GRIP BLOCK  |  12 MIN,3,Sandbag Bear-Hug Hold  (30 kg),3 x 40 s,3 x 40 s,3 x 40 s,-,
24,4,WEDNESDAY,2026-11-25,EASY AEROBIC + LOWER ACCUMULATION,AM,AM - EASY AEROBIC  |  30 MIN,,Note,,,,,"Zone 2 run or bike. Conversational throughout. If in doubt, go slower."
24,4,WEDNESDAY,2026-11-25,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,1,A Back Squat,3 x 6,3 x 6,3 x 6,4 RIR,
24,4,WEDNESDAY,2026-11-25,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,2,B Deadlift,3 x 5,3 x 5,3 x 5,4 RIR,
24,4,WEDNESDAY,2026-11-25,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,3,C Bulgarian Split Squat,3 x 10 each leg,3 x 10 each leg,3 x 10 each leg,3 RIR,
24,4,WEDNESDAY,2026-11-25,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,4,D Copenhagen Plank,3 x 25 s each side,3 x 25 s each side,3 x 25 s each side,-,
24,4,WEDNESDAY,2026-11-25,EASY AEROBIC + LOWER ACCUMULATION,PM,PM - LOWER ACCUMULATION  |  MIN 6 H AFTER AM,,Note,,,,,"No sumo. Hands outside the knees, as competition requires. Build the habit now."
