Day,Week,Weekday,Type,Label,Figure,Unit,Text
27,4,SATURDAY,From the floor,From the floor - Kit check,,,Sorting the logistics early is easier than doing it in week twelve. Chalk is yours to bring. Pack a spare pair of shoes. Venue floors vary and grip on the sandbag carry matters more than people expect.
28,4,SUNDAY,Coach's note,Coach's note - The week behind you,,,"Look back before looking forward. If the ski intervals faded more than they did in week one and the lifts have stalled, fatigue has accumulated faster than it has cleared. In that case, repeating this deload is a better option than starting the Development phase."
29,5,MONDAY,The standard,The standard - Deadlift - the pause,,,"Maximum pause between reps is five seconds, and if you set the bar down your hands must stay on it. Let go and the count restarts at zero. It is worth rehearsing your triple as three singles, with your hands staying on the bar throughout."
30,5,TUESDAY,Coach's note,Coach's note - Ski pace discipline,,,"The zone scores total metres, so an even effort generally produces more than a fast opening followed by a fade. Set your target pace and hold it. Negative split by a second or two if anything."
31,5,WEDNESDAY,The number,The number,187,m,"What fifteen seconds per kilometre is worth. Run the 3 km buy-in that much faster and you gain forty-five seconds of ski time, which is roughly 187 metres of score. This is why the Endurance Zone is one twenty-four minute effort, not two events."
32,5,THURSDAY,Score impact,Score impact,,,"Missing both deadlift windows affects more than the component itself. The Strength total falls, and with it the Strength placing, potentially by a considerable margin. Because the best result available in each of the other zones is one point, there is limited scope to recover the difference."
33,5,FRIDAY,No rep,No rep - Sandbag - dropping early,,,"If the bag is dropped or thrown before both feet have clearly passed the line, you must pick it up, move it back and cross again. It is easy to set the bag down on the line rather than beyond it when fatigued, so carry through."
34,5,SATURDAY,Kit,Kit - Chalk,,,"Bring your own. It is permitted and it is not provided. With straps not permitted, chalk is the only grip aid available on the deadlift and the sandbag."
35,5,SUNDAY,From the floor,From the floor - Between zones,,,"The three zones sit inside a two and a half hour window, so what you eat and drink between them has more effect than the morning meal. Rehearsing it during the Specific phase means nothing on the day is being tried for the first time."
36,6,MONDAY,Coach's note,Coach's note - The repeat-triple,,,"Two near-maximal triples sixty seconds apart is trainable, and rarely addressed directly. Watch the drop from the first triple to the second rather than the weight on the first. Closing that gap improves the average."
37,6,TUESDAY,The standard,The standard - Sandbag carry - the pick,,,The bag must be taken from the ground. Any method of getting it to a bear hug or to the shoulder is permitted. Both are worth practising. A shoulder carry is usually quicker over 30 m but harder to secure once grip is fatigued.
38,6,WEDNESDAY,The number,The number,69,min,"Total working time across all three zones, spread over a two and a half hour window with recovery between. This is why carbohydrate loading suits this event less well than it does longer races. Glycogen is unlikely to be the limiting factor, and loading tends to add water weight and gastrointestinal load."
39,6,THURSDAY,Kit,Kit - Belts and wraps,,,"Weightlifting belts, wrist wraps, elbow sleeves and knee sleeves are all permitted. Knee wraps and elbow wraps are not. If you plan to compete in a belt, train in it on your heavy days rather than introducing it on the day."
40,6,FRIDAY,No rep,No rep - Deadlift - the finish,,,"The rep is credited when hips and knees reach full extension and your head and shoulders are behind the bar. Stopping just short is easy to do under fatigue, so stand fully upright and hold the position briefly."
41,6,SATURDAY,From the floor,From the floor - Ski damper,,,"The damper may be adjusted before and during the workout, though every second spent adjusting is a second not skiing. Set it in your warm-up and leave it alone."
42,6,SUNDAY,Score impact,Score impact,,,"Consistency across the three zones matters more than an outstanding result in any one of them. Every zone gets dedicated weekly attention in this plan, which suits the way rank-sum scoring rewards balance."
43,7,MONDAY,From the floor,"From the floor - Rehearsal, not workout",,,Today's session is data collection. Run the buy-in at the pace you intend to race and record every 500 m ski split. Try not to adjust mid-session to protect the number. A rehearsal that shows a genuine result is more useful than one that flatters.
44,7,TUESDAY,Coach's note,Coach's note - Reading the decay curve,,,"If your first two ski minutes are poor and you recover, you have a transition problem, and that is trainable. If the pace decays steadily throughout, you have a ski endurance problem and you need more of Tuesday."
45,7,WEDNESDAY,The number,The number,14.3,%,"How much ski pace you can afford to lose by running the buy-in thirty seconds per kilometre faster, and still score the same. Most athletes lose between six and twelve per cent moving to a 5 km effort. The trade is comfortably positive."
46,7,THURSDAY,The standard,The standard - Back squat - continuity,,,"As long as the bar stays in the back rack position, your reps do not need to be consecutive. But if you re-rack or dump the bar, the score is void and you start again. That means you can pause and reset between reps of a heavy double. Use it."
47,7,FRIDAY,No rep,No rep - Burpees over the bench,,,"Chest must clearly touch the ground on every rep. Chest contact is usually the first standard to slip thirty reps into MetCon X, and judges watch for it."
48,7,SATURDAY,Kit,Kit - Shoes,,,"Weightlifting shoes are permitted in the Strength Zone, though one pair of stable trainers across all three zones suits most athletes better. Changing shoes costs time between zones and adds another thing to remember."
49,7,SUNDAY,Coach's note,Coach's note - Sunday audit,,,"If Wednesday's deadlift gap widened rather than narrowed, and Saturday's ski faded more than five per cent, you are accumulating fatigue faster than you are clearing it. In that case the Week 8 deload is worth taking in full rather than pushing through."
50,8,MONDAY,Coach's note,Coach's note - Taper the deload,,,"Intensity stays and volume halves, so this is a sharpening week rather than a rest week. The Specific phase depends on arriving recovered, so week nine is worth reaching in good shape."
51,8,TUESDAY,Score impact,Score impact,,,"Field size sets the downside. In a hundred-athlete field, a last place in one zone costs a hundred points, which is difficult to recover elsewhere. That is why the pacing guidance here favours protecting a solid result over chasing a peak one."
52,8,WEDNESDAY,The number,The number,3,x,How much more a given improvement is worth in placings from the middle of the field than from the top seven per cent. Giving your weakest zone the most attention returns more placings than the same effort spent on a strong one.
53,8,THURSDAY,The standard,The standard - Run laps,,,"Completing the full number of laps is the athlete's responsibility, and a miscount means the distance does not count. Know the lap length before you start and count deliberately."
54,8,FRIDAY,No rep,No rep - Ground to overhead - alternating,,,"In the ATHX division you must alternate arms after each successful rep. If you are given a no rep, that rep must be repeated with the same arm. Losing track of which arm you are on costs reps, so it is worth establishing a rhythm you can hold when tired."
55,8,SATURDAY,Kit,Kit - The bag,,,"Pack it the night before every simulation, not just for the competition. Chalk, sleeves, belt, shoes, food, bottle. The simulations rehearse the whole day, and packing is part of what they are for."
56,8,SUNDAY,From the floor,From the floor - Warm-up architecture,,,"Five minutes per lift includes your warm-up. That means everything must be front-loaded before the clock starts. Arrive already warm through shoulders, hips and posterior chain, with the exact ramp rehearsed."
57,9,MONDAY,From the floor,From the floor - The compressed ramp,,,"Five minutes covers a maximal Shoulder to Overhead from a standing start, which allows for two or three loaded singles and the attempt. Write the ramp down: bar, then three loads, then the attempt, and practise it against a timer each week from here."
58,9,TUESDAY,Coach's note,Coach's note - Attempt selection,,,"Open your first deadlift window at a weight you are ninety-five per cent confident of - typically ninety to ninety-three per cent of a fresh triple, adjusted down for the squat that precedes it. Window two is informed by how window one felt. Fast means add five to ten kilos. A grind means repeat."
59,9,WEDNESDAY,The number,The number,50,%,"What a missed deadlift window costs you. The score averages two attempts, so a miss contributes zero to that average. In conventional max testing a miss costs nothing, whereas here it costs half the component, which is why the opening attempt is best kept conservative."
60,9,THURSDAY,The standard,The standard - Shoulder to overhead,,,The 2027 standards had not been published when this book went to press. The 2026 strict press standard required full lockout with hips and knees extended and the bar over the centre of the body. Expect the same finish position with the dip and drive now permitted. Confirm against the official standards before you compete.
61,9,FRIDAY,No rep,No rep - Row calories,,,"You must complete the full required calories before coming off the seat. The monitor, not your count, is what the judge reads. Standing before the monitor shows full calories is a common way to lose a good MetCon time."
62,9,SATURDAY,Kit,Kit - What is in your bag on the day,,,"Chalk. One pair of knee sleeves, unrolled. Belt. Wrist wraps if you use them. Shoes. Food and drink for the gaps between zones. Not in your bag: straps, hand grips, knee wraps, headphones. All banned."
63,9,SUNDAY,Score impact,Score impact,,,Compare your numbers against published results rather than your own training history. The useful question is where your total would have placed. Doing that for all three zones shows where your discretionary training time is best spent.
64,10,MONDAY,Coach's note,Coach's note - The MetCon crux,,,"Sandbag squats into an immediate carry is where the workout is decided. Same grip, same trunk, no relief between them. One full exhale on each squat ascent, without holding your breath at the bottom."
65,10,TUESDAY,The number,The number,2,rows,"MetCon X is bookended by rows, and they are the only elements where you control pace with real precision. Set off at an effort you could hold for the whole piece, since the opening row is where time is most easily overspent."
66,10,WEDNESDAY,The standard,The standard - Sandbag carry distance,,,"Thirty metres is fifteen out and fifteen back. Both feet must clearly pass the turn line. Individual athletes carry 30 m. Pairs carry 60 m with a changeover, and the second athlete must start from behind the designated line."
67,10,THURSDAY,From the floor,From the floor - Between-zone fuelling,,,"Thirty to forty minutes between zones is enough for 30 to 40 g of easily digested carbohydrate and fluid, and not enough for a meal. Rehearse exactly what you will take. Competition day is not the time to discover something does not sit well."
68,10,FRIDAY,No rep,No rep - Bench press lockout,,,"Every rep needs full elbow extension. Under fatigue the last few centimetres are the first thing to go. Counting in blocks of ten, resetting the breathing between them, works better than a continuous thirty."
69,10,SATURDAY,Kit,Kit - Grip without straps,,,"With straps banned, hook grip or mixed grip is your only option on a heavy deadlift triple. If you use hook grip, chalk heavily. If you use mixed grip, alternate which hand supinates across your training sets."
70,10,SUNDAY,Coach's note,Coach's note - Commit the plan to paper,,,"Write your deadlift attempt weights, your buy-in pace and your MetCon opening row split on a card and put it in your bag. Decisions made calmly this week tend to be better than the same ones made under fatigue on the floor."
71,11,MONDAY,From the floor,"From the floor - Simulate the day, not the sessions",,,"Warm-up timing, food between zones, kit changes, chalk and where your bag goes. The logistics are as much a part of the day as the sessions. Every problem found today is one you will not meet on the floor."
72,11,TUESDAY,Score impact,Score impact,,,"The best available result in a zone is one point, while the worst is the size of the field, so the tactical decisions from here favour protecting the result. Hold the opening run to your rehearsed pace, use a sandbag load you can control, and avoid taking risks in any single zone."
73,11,WEDNESDAY,The number,The number,41,v 42,"Under rank-sum scoring, balance across zones tends to outscore specialisation, sometimes by a single point. Three solid placings will usually finish ahead of two wins and a poor result."
74,11,THURSDAY,Coach's note,Coach's note - The last hard week,,,"From here the aim shifts from building fitness to preserving it, since twelve days is not long enough to add much. Train this week fully, and from then on additional work is unlikely to help."
75,11,FRIDAY,The standard,The standard - Erg handles,,,"Handles must not be released in a way that could damage the machine. Bring them high and release gently, or hand over in pairs. The penalty is thirty seconds. That is a large number in a time-scored workout."
76,11,SATURDAY,Kit,Kit - Two of everything,,,"Spare shoes, spare chalk and spare food. Venue conditions vary and so do plans. It is also worth knowing where the venue is, when you need to arrive and what the parking is like, since the day starts well before the first zone."
77,11,SUNDAY,Coach's note,Coach's note - Unload begins,,,"From tomorrow, volume comes down while intensity stays. That will feel like less work, which is the intention. The work is already banked, and the taper is what lets it show."
78,12,MONDAY,Coach's note,Coach's note - Trust the taper,,,"Short, sharp sessions finished before you feel like stopping. These should feel comfortably fast rather than hard. If it feels hard, reducing Wednesday further is a better response than pushing on."
79,12,TUESDAY,Kit,Kit - Damper setting,,,"Write your ski damper number down today and put it with your attempt card. Venue machines vary, and knowing your setting saves time at the start of a scored zone."
80,12,WEDNESDAY,The standard,The standard - No eccentric work,,,"Heavy eccentric loading is the main cause of microtrauma and lingering soreness, so it stops seven days out. Lower under control today, without chasing slow negatives. The focus is concentric."
81,12,THURSDAY,Coach's note,Coach's note - The day before the day before,,,"Rest is the session today, and there is nothing to gain from testing yourself. Nothing done today will improve Sunday, and a hard session could affect it."
82,12,FRIDAY,From the floor,From the floor - Shakeout,,,"Twenty minutes in total, all of it easy, finishing while you still feel fresh. The purpose is blood flow and familiarity rather than fitness, so keeping it easy matters."
83,12,SATURDAY,From the floor,From the floor - The night before,,,"Pack the bag, write the card and set two alarms. Eat normally, since there is no loading protocol for this event. Then leave it there. The work is done."
84,12,SUNDAY,Score impact,Score impact,,,"Lowest total placing wins, so three solid zones will usually finish ahead of two excellent ones and a poor one. Open the deadlift conservatively, run the buy-in at your rehearsed pace, control the opening row, and race the rest."
