Day,Week,Phase,Weekday,Date,Date (long),Session,Session type,Garmin sport,Shape,Load,Purpose,Fuel,Daily macros,Hydration,Electrolytes,Recovery category,Recovery guidance,Teaching block,Teaching text,Log 1,Log 2,Log 3
12,2,Base Phase,FRIDAY,2026-11-13,Fri 13 Nov 2026,METCON MOVEMENT WORK,MetCon circuit,hiit,Single,Moderate,Learn the movements at manageable load before you meet them at competition weight. Bench press and the sandbag squat-to-carry sequence are the two elements that most often need extra work.,"Pre: 40-50 g carbohydrate, 90 min before.  |  Intra: Electrolyte drink between rounds, not during them.  |  Post: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.2,Electrolytes: required. Highest sweat rate of your week.,High metabolic  |  moderate mechanical,"Loaded squatting and grip, no heavy eccentrics. Twenty minutes of easy walking or light cycling tonight. Not running - tomorrow needs your legs.",No rep - Sandbag carry,"Both feet must clearly pass the turn line and the finish line. Touching the line does not count. Turning early is easy to do when breathing hard, so it is worth running through the line rather than to it.",Time for each round,"Drop from round one to the final round, target within 10%",Where the sandbag block broke down
13,2,Base Phase,SATURDAY,2026-11-14,Sat 14 Nov 2026,LONG AEROBIC + SKI INTRODUCTION,Run to ski transition,running / cardio_training,Single,Moderate,"Time on feet plus a first exposure to skiing on tired legs. In the Development phase this becomes the most specific session in the book, so build the habit now.","Pre: 40-50 g carbohydrate, 90 min before. Under-fuel this and the data is meaningless.  |  Post: 30-40 g protein plus 1.0 g/kg carbohydrate.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.1,Electrolytes: yes. Sip between rounds.,High metabolic  |  moderate mechanical,"Tomorrow's easy aerobic is your recovery, which is why it sits there. Sleep is tonight's priority. Legs beaten up in the morning? Take Sunday as a walk.",From the floor - Transition habit,"The first thirty seconds off the run is where the time gained on the buy-in is most easily given back. Reset posture within three strides of reaching the machine, take one deliberate breath, and start at pace rather than pausing to gather yourself.","Ski metres per round, or 500 m splits if rehearsing the full zone","Final round as a percentage of the first, target within 5%",How the first thirty seconds of each ski felt
14,2,Base Phase,SUNDAY,2026-11-15,Sun 15 Nov 2026,EASY AEROBIC,Easy aerobic,running,Single,Low,Aerobic maintenance and active clearance of yesterday. The only way to get this day wrong is to go too hard.,Pre: Optional. Small carbohydrate serving if you prefer not to train empty.  |  Post: Normal meal within a couple of hours.,Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 0.8,Electrolytes: only if over 60 min or hot.,Minimal  |  this session is the recovery,"Low mechanical load, sustained blood flow, negligible metabolic cost. After it, take the rest of the day genuinely off.",Score impact,Rank points are cheapest where the field is densest. The same improvement is worth roughly three times as many placings from mid-pack as it is from the top seven per cent. Placings are easiest to gain where you currently sit furthest back.,Average heart rate,Compare to the same session in Week 1,How the week felt overall
15,3,Base Phase,MONDAY,2026-11-16,Mon 16 Nov 2026,AEROBIC RUN + UPPER ACCUMULATION,Run + Upper strength,running / strength_training,Double,Moderate,"Aerobic volume builds the base every later phase draws on. Upper work runs at accumulation loads. Run first, lift six hours later.","Pre-AM: 30-40 g carbohydrate, 60-90 min before.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein. Non-negotiable on a double day.  |  Post-PM: 30-40 g protein plus 0.5-1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,AM: sweat rate x 0.7  |  PM: sweat rate x 0.9,Electrolytes: AM run if over 60 min or warm.,Moderate mechanical  |  moderate central,"Sleep is the intervention. You have moved twice today, so more movement is not more recovery. Tomorrow is ski: trunk and lats, legs left alone.",The standard - Back squat,"The hip crease must pass below the top of the knee. A rep only counts when you return to full extension of hips and knees. Depth is judged rather than estimated, so it is worth filming a set this week to check.","Fastest and slowest interval pace, and the gap between them",Push press top set and RIR,How the legs felt in the PM session
16,3,Base Phase,TUESDAY,2026-11-17,Tue 17 Nov 2026,SKI TECHNIQUE + GRIP,Ski erg + Grip,cardio_training,Single,Moderate,"The Endurance Zone is scored on ski metres alone, so this phase is about learning to produce them efficiently before working on producing them quickly.","Pre: 30-50 g carbohydrate, 60-90 min before.  |  Post: 30-40 g protein plus 0.5 g/kg carbohydrate.",Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.0,Electrolytes: if total session exceeds 60 min.,High metabolic  |  low mechanical,"Hard work, little muscle damage. Active recovery helps here: twenty to thirty minutes of easy walking tonight. Legs should be fresh tomorrow.",No rep - Back squat - the walk-in,"On your final rep you must be fully extended and given the rep verbally before you walk the bar back to the rack. Walk early and the rep does not count. Re-rack it and you start again from zero. This is one of the more costly errors available in the Strength Zone, and it is entirely avoidable.",Metres for each ski interval,"Drop from first interval to last, target under 3%","Grip: farmer carry load, dead hang time"
17,3,Base Phase,WEDNESDAY,2026-11-18,Wed 18 Nov 2026,EASY AEROBIC + LOWER ACCUMULATION,Aerobic + Lower strength,running / strength_training,Double,High,"Endurance first, the lift six hours later, so the metabolic signalling from the run has returned to baseline before you load. Refuelling in between is what makes that true.","Pre-AM: 20-30 g carbohydrate, or fasted if you tolerate it.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein.  |  Post-PM: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 2.0-2.2 g/kg,AM: sweat rate x 0.8  |  PM: sweat rate x 1.0,Electrolytes: PM session. Dehydration cuts force and spinal stability.,Highest central load of the week,"Complete rest tonight. After high central load, light cardio does not speed neural recovery; sleep, downregulation and food do. Tomorrow is rest for the same reason.",Coach's note - Bench press endurance,"DB bench press was not in the 2026 format, so it is new to most people entering in 2027. Running, HYROX and general conditioning backgrounds rarely build horizontal pressing endurance. Thirty reps is a local endurance demand rather than a strength one, and it responds quickly to targeted work.",Back squat top set and RIR,"Deadlift - triple 1 / triple 2, each round",The gap between the two triples
18,3,Base Phase,THURSDAY,2026-11-19,Thu 19 Nov 2026,COMPLETE REST,Rest,rest,Rest,-,"Yesterday carried the heaviest central nervous system load of the week, and the weekend holds the most specific sessions. This day is part of the programme rather than a gap in it, and it is what allows Friday and Saturday to be productive.",All day: Carbs come down because you are not training. Protein does not - rest days are when repair happens.  |  Intake: Eat at roughly maintenance. A build block is not the place for a deficit.,Day: carbs 3-4 g/kg   protein 1.8-2.2 g/kg,"Session: none - baseline only, and still drink it",Electrolytes: not required today.,Clearing central nervous system load,"A working day for your nervous system even though it does not look like one. Sleep, downregulation and nutrition do the work. Get to bed thirty minutes earlier.",The number,"The time penalty for letting go of the erg handles in a manner that could damage the machine. Bring the handle high and release it gently, in training as well as in competition.",Morning resting heart rate,HRV if you track it,"If elevated two days running, reduce Friday volume by a third"
19,3,Base Phase,FRIDAY,2026-11-20,Fri 20 Nov 2026,METCON MOVEMENT WORK,MetCon circuit,hiit,Single,Moderate,Learn the movements at manageable load before you meet them at competition weight. Bench press and the sandbag squat-to-carry sequence are the two elements that most often need extra work.,"Pre: 40-50 g carbohydrate, 90 min before.  |  Intra: Electrolyte drink between rounds, not during them.  |  Post: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.2,Electrolytes: required. Highest sweat rate of your week.,High metabolic  |  moderate mechanical,"Loaded squatting and grip, no heavy eccentrics. Twenty minutes of easy walking or light cycling tonight. Not running - tomorrow needs your legs.",Kit - Footwear and sleeves,"Footwear must be worn. One pair of knee sleeves only - not two, and they may not be rolled to increase thickness. Headphones and earbuds are not permitted anywhere on the competition floor, so if you usually train with music it is worth doing some sessions without it.",Time for each round,"Drop from round one to the final round, target within 10%",Where the sandbag block broke down
20,3,Base Phase,SATURDAY,2026-11-21,Sat 21 Nov 2026,LONG AEROBIC + SKI INTRODUCTION,Run to ski transition,running / cardio_training,Single,Moderate,"Time on feet plus a first exposure to skiing on tired legs. In the Development phase this becomes the most specific session in the book, so build the habit now.","Pre: 40-50 g carbohydrate, 90 min before. Under-fuel this and the data is meaningless.  |  Post: 30-40 g protein plus 1.0 g/kg carbohydrate.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.1,Electrolytes: yes. Sip between rounds.,High metabolic  |  moderate mechanical,"Tomorrow's easy aerobic is your recovery, which is why it sits there. Sleep is tonight's priority. Legs beaten up in the morning? Take Sunday as a walk.",From the floor - Pacing the buy-in,"Common advice suggests the first four minutes should feel almost easy. In this format that reduces the ski time available, which is where the score comes from. Run the buy-in at or above your 10 km race pace from the start.","Ski metres per round, or 500 m splits if rehearsing the full zone","Final round as a percentage of the first, target within 5%",How the first thirty seconds of each ski felt
21,3,Base Phase,SUNDAY,2026-11-22,Sun 22 Nov 2026,EASY AEROBIC,Easy aerobic,running,Single,Low,Aerobic maintenance and active clearance of yesterday. The only way to get this day wrong is to go too hard.,Pre: Optional. Small carbohydrate serving if you prefer not to train empty.  |  Post: Normal meal within a couple of hours.,Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 0.8,Electrolytes: only if over 60 min or hot.,Minimal  |  this session is the recovery,"Low mechanical load, sustained blood flow, negligible metabolic cost. After it, take the rest of the day genuinely off.",Score impact,"An athlete who wins two zones and finishes fortieth in the third scores 42. An athlete who finishes twelfth, fourteenth and fifteenth scores 41 and beats them. A strong result in one zone cannot be carried across to offset a weak one.",Average heart rate,Compare to the same session in Week 1,How the week felt overall
22,4,Base Phase,MONDAY,2026-11-23,Mon 23 Nov 2026,AEROBIC RUN + UPPER ACCUMULATION,Run + Upper strength,running / strength_training,Double,Moderate,"Aerobic volume builds the base every later phase draws on. Upper work runs at accumulation loads. Run first, lift six hours later.","Pre-AM: 30-40 g carbohydrate, 60-90 min before.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein. Non-negotiable on a double day.  |  Post-PM: 30-40 g protein plus 0.5-1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,AM: sweat rate x 0.7  |  PM: sweat rate x 0.9,Electrolytes: AM run if over 60 min or warm.,Moderate mechanical  |  moderate central,"Sleep is the intervention. You have moved twice today, so more movement is not more recovery. Tomorrow is ski: trunk and lats, legs left alone.",Coach's note - Deload honestly,"The purpose of a deload is to let accumulated fatigue clear so the next phase starts on a recovered athlete, which is why the reduced load is worth keeping to. Feeling good on a light week is a sign it is working rather than evidence that more was needed.","Fastest and slowest interval pace, and the gap between them",Push press top set and RIR,How the legs felt in the PM session
23,4,Base Phase,TUESDAY,2026-11-24,Tue 24 Nov 2026,SKI TECHNIQUE + GRIP,Ski erg + Grip,cardio_training,Single,Moderate,"The Endurance Zone is scored on ski metres alone, so this phase is about learning to produce them efficiently before working on producing them quickly.","Pre: 30-50 g carbohydrate, 60-90 min before.  |  Post: 30-40 g protein plus 0.5 g/kg carbohydrate.",Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.0,Electrolytes: if total session exceeds 60 min.,High metabolic  |  low mechanical,"Hard work, little muscle damage. Active recovery helps here: twenty to thirty minutes of easy walking tonight. Legs should be fresh tomorrow.",The standard - Ground to overhead,"A snatch or a clean and jerk are both permitted. If you split snatch, both feet must return in line under your body while the dumbbell is locked out. Pick one method and train it, since switching technique under fatigue tends to cost reps.",Metres for each ski interval,"Drop from first interval to last, target under 3%","Grip: farmer carry load, dead hang time"
24,4,Base Phase,WEDNESDAY,2026-11-25,Wed 25 Nov 2026,EASY AEROBIC + LOWER ACCUMULATION,Aerobic + Lower strength,running / strength_training,Double,High,"Endurance first, the lift six hours later, so the metabolic signalling from the run has returned to baseline before you load. Refuelling in between is what makes that true.","Pre-AM: 20-30 g carbohydrate, or fasted if you tolerate it.  |  Between: Inside 60 min: 1.0-1.5 g/kg carbs plus 30-40 g protein.  |  Post-PM: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 2.0-2.2 g/kg,AM: sweat rate x 0.8  |  PM: sweat rate x 1.0,Electrolytes: PM session. Dehydration cuts force and spinal stability.,Highest central load of the week,"Complete rest tonight. After high central load, light cardio does not speed neural recovery; sleep, downregulation and food do. Tomorrow is rest for the same reason.",The number,"The transition tax. Ski two minutes at ten seconds per 500 m slower than steady after a hard run and you lose about 39 metres. Set against the 187 metres a faster buy-in earns you, the tax is roughly one fifth of the benefit. Run hard.",Back squat top set and RIR,"Deadlift - triple 1 / triple 2, each round",The gap between the two triples
25,4,Base Phase,THURSDAY,2026-11-26,Thu 26 Nov 2026,COMPLETE REST,Rest,rest,Rest,-,"Yesterday carried the heaviest central nervous system load of the week, and the weekend holds the most specific sessions. This day is part of the programme rather than a gap in it, and it is what allows Friday and Saturday to be productive.",All day: Carbs come down because you are not training. Protein does not - rest days are when repair happens.  |  Intake: Eat at roughly maintenance. A build block is not the place for a deficit.,Day: carbs 3-4 g/kg   protein 1.8-2.2 g/kg,"Session: none - baseline only, and still drink it",Electrolytes: not required today.,Clearing central nervous system load,"A working day for your nervous system even though it does not look like one. Sleep, downregulation and nutrition do the work. Get to bed thirty minutes earlier.",Kit - Collars and plates,"Collars must be placed outside the plates on every barbell lift, warm-ups included. Unused plates must be inside the rig and off the lifting area. Small details, but a judge will stop you for them and the clock keeps running.",Morning resting heart rate,HRV if you track it,"If elevated two days running, reduce Friday volume by a third"
26,4,Base Phase,FRIDAY,2026-11-27,Fri 27 Nov 2026,METCON MOVEMENT WORK,MetCon circuit,hiit,Single,Moderate,Learn the movements at manageable load before you meet them at competition weight. Bench press and the sandbag squat-to-carry sequence are the two elements that most often need extra work.,"Pre: 40-50 g carbohydrate, 90 min before.  |  Intra: Electrolyte drink between rounds, not during them.  |  Post: 40 g protein plus 1.0 g/kg carbs within two hours.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.2,Electrolytes: required. Highest sweat rate of your week.,High metabolic  |  moderate mechanical,"Loaded squatting and grip, no heavy eccentrics. Twenty minutes of easy walking or light cycling tonight. Not running - tomorrow needs your legs.",No rep - Ground to overhead - the non-lifting hand,"Your free hand may not make contact with your legs or any other part of your body during the rep. Bracing a hand on the thigh under fatigue is a natural reaction and it is a no rep, so it is worth training with the free arm out.",Time for each round,"Drop from round one to the final round, target within 10%",Where the sandbag block broke down
27,4,Base Phase,SATURDAY,2026-11-28,Sat 28 Nov 2026,LONG AEROBIC + SKI INTRODUCTION,Run to ski transition,running / cardio_training,Single,Moderate,"Time on feet plus a first exposure to skiing on tired legs. In the Development phase this becomes the most specific session in the book, so build the habit now.","Pre: 40-50 g carbohydrate, 90 min before. Under-fuel this and the data is meaningless.  |  Post: 30-40 g protein plus 1.0 g/kg carbohydrate.",Day: carbs 5-6 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 1.1,Electrolytes: yes. Sip between rounds.,High metabolic  |  moderate mechanical,"Tomorrow's easy aerobic is your recovery, which is why it sits there. Sleep is tonight's priority. Legs beaten up in the morning? Take Sunday as a walk.",From the floor - Kit check,Sorting the logistics early is easier than doing it in week twelve. Chalk is yours to bring. Pack a spare pair of shoes. Venue floors vary and grip on the sandbag carry matters more than people expect.,"Ski metres per round, or 500 m splits if rehearsing the full zone","Final round as a percentage of the first, target within 5%",How the first thirty seconds of each ski felt
28,4,Base Phase,SUNDAY,2026-11-29,Sun 29 Nov 2026,EASY AEROBIC,Easy aerobic,running,Single,Low,Aerobic maintenance and active clearance of yesterday. The only way to get this day wrong is to go too hard.,Pre: Optional. Small carbohydrate serving if you prefer not to train empty.  |  Post: Normal meal within a couple of hours.,Day: carbs 4-5 g/kg   protein 1.8-2.2 g/kg,Session: sweat rate x 0.8,Electrolytes: only if over 60 min or hot.,Minimal  |  this session is the recovery,"Low mechanical load, sustained blood flow, negligible metabolic cost. After it, take the rest of the day genuinely off.",Coach's note - The week behind you,"Look back before looking forward. If the ski intervals faded more than they did in week one and the lifts have stalled, fatigue has accumulated faster than it has cleared. In that case, repeating this deload is a better option than starting the Development phase.",Average heart rate,Compare to the same session in Week 1,How the week felt overall
